"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Tnfaip2",0.0165951862098142,-0.250527325893023,0.231,0.293,1
"Cox6c",0.016789305416419,-0.208369489713272,0.868,0.857,1
"Rps19",0.0169314531581662,-0.124784466784161,0.998,0.993,1
"Pdha1",0.0169716968881855,-0.621157528247744,0.088,0.13,1
"Pak2",0.0169902918738155,-0.236285731310649,0.41,0.486,1
"Crip1",0.0169951938793439,-0.378276965120678,0.33,0.4,1
"Ptov1",0.0170000529160165,0.859247063387002,0.158,0.116,1
"Ndufs7",0.0170584385275261,0.456477767351965,0.342,0.289,1
"Dkc1",0.0170861072466977,-0.640404384066129,0.064,0.101,1
"Igf1",0.0170869142578266,0.262557276350105,0.33,0.273,1
"Tab2",0.0171427200211359,-0.237763550119458,0.291,0.362,1
"Eif4g2",0.0172431483029467,0.156844390771339,0.841,0.791,1
"Mindy2",0.0172980107172413,-0.397454131931521,0.167,0.222,1
"Tmem223",0.0173242462974801,0.844194112301782,0.128,0.089,1
"Trim25",0.0173311069606831,-0.398089375967097,0.141,0.193,1
"Csnk1d",0.0173499989909984,-0.652875880307213,0.128,0.174,1
"Nipa2",0.0173883880414032,0.580412342705179,0.244,0.196,1
"Bcl7b",0.0174104782230736,-0.371146995362783,0.128,0.178,1
"Ntan1",0.0175797998810451,0.764816861840309,0.17,0.127,1
"Mrc1",0.0176801165305152,0.2566664051195,0.515,0.458,1
"Sat1",0.0177485294727173,0.301110348246005,0.767,0.801,1
"Dusp5",0.0177669779423197,-0.497291918435553,0.095,0.141,1
"Tap2",0.0178191463425295,-0.484521420235036,0.119,0.168,1
"Crnkl1",0.0178907511868599,-0.599567908932462,0.081,0.122,1
"Cnbp",0.0179290685342461,0.254366457457052,0.573,0.524,1
"Txn1",0.0179532305755285,0.142158791714901,0.665,0.578,1
"Sox4",0.0181254280523104,0.551434198428049,0.156,0.112,1
"Eef1a1",0.0181437369460908,-0.0905891354658959,1,0.999,1
"Tbl1xr1",0.0182695705995259,-0.405779728476543,0.139,0.188,1
"Tm2d2",0.0182955578782808,0.440222209537398,0.251,0.197,1
"Epb41",0.0185494418720852,-0.190795180716593,0.147,0.201,1
"Dhx8",0.0186339659372459,-0.459972381982241,0.088,0.13,1
"Exosc8",0.0186677586311596,-0.380517829499225,0.097,0.142,1
"Tcof1",0.0186883854299217,-0.506888217276474,0.126,0.176,1
"Cep170",0.0190366827958644,-0.152866076538431,0.168,0.228,1
