"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:1903706","regulation of hemopoiesis",181,-0.331057085298045,-1.64970695657541,0.000325664831362615,0.0252819611964982,0.0230322560575441,826,"tags=33%, list=19%, signal=28%","Arid1a/Zbtb7a/Rb1/Ctnnb1/Zbtb1/Dicer1/Smarcd2/Ldb1/Prdm1/Cd74/B2m/Csf3r/Hspa9/Syk/Isg15/Ep300/Ubash3b/Nf1/Il18/H2-M3/Irgm1/Axl/Tnf/Hmgb2/Sos2/Il2rg/Inpp5d/Rassf2/Brd2/Stat3/Id2/Il2ra/Trib1/Ptk2b/Cebpa/Hax1/Nfkbiz/Rab7b/Clec12a/Mafb/Foxp1/H2-Aa/Sash3/Nlrp3/Hsp90aa1/Nfkbia/Mmp14/Asxl2/Hif1a/Zc3h12a/Prxl2a/Zfp36l2/Sh2b3/Runx3/Irf1/Tob2/Arid2/Abl1/Hspa1b"
"GO:0002250","adaptive immune response",166,-0.33951398519431,-1.66522339749795,0.000352829602094711,0.0254390143110286,0.0231753338639052,954,"tags=34%, list=22%, signal=27%","Il6ra/Fgl2/Tnfaip3/Pag1/Rc3h1/Tnfsf13b/Nfkb2/Zbtb1/Hspa8/Mpeg1/Prdm1/Il1b/Cd74/B2m/Icosl/Pou2f2/Syk/Ep300/Il18/H2-M3/Ufl1/Prkcd/Csf2rb/H2-K1/Tnf/Fosl2/Swap70/Inpp5d/Adcy7/Stat6/Brd2/Stat3/Sh2d1b1/Fcgr2b/Lat2/Ptk2b/Rif1/Nfkbiz/Notch1/Pik3cd/Samsn1/H2-Q7/Arid5a/Sash3/Tap2/Nlrp3/Slamf7/Zc3h12a/Sema4a/Tnfrsf1b/Irf1/Havcr2/Icam1/Rnf19b/Spn/Ly9"
"GO:0007169","cell surface receptor protein tyrosine kinase signaling pathway",173,-0.337127583232088,-1.66049763240748,0.000348911459421041,0.0254390143110286,0.0231753338639052,849,"tags=30%, list=19%, signal=25%","Hhex/Leprotl1/Snx5/Ctnnb1/Pdgfb/Il1b/Vps13a/Arf4/Pak1/Igf1r/Syk/Nus1/Ubash3b/Mapkapk2/Iqgap1/Rps6kb1/Rela/Sulf2/Axl/Prkcd/Sgpl1/Rapgef2/Tnf/Sos2/Ccl2/Ccdc88a/Stat6/Dok3/Tiparp/Stat3/Ndel1/Csrnp1/Psen2/Ptk2b/Myo1e/Notch1/Pik3cd/Nucb2/Atxn7/Mmp14/Hif1a/Errfi1/Gsk3a/Sh2b3/Psen1/Ptpre/Ide/Cadm1/Plaur/Abl1/Ptpn12/Irs2"
"GO:0002833","positive regulation of response to biotic stimulus",172,-0.33679489178018,-1.65550420460398,0.000342389941560799,0.0254390143110286,0.0231753338639052,1002,"tags=33%, list=23%, signal=26%","Lyn/Ubqln1/Rnf115/Ppt1/Cd300a/Tnfaip3/Med1/Scimp/Ifih1/Ddx3x/Hspa8/Cd74/Ifi211/Plcg2/Ipo5/Pcbp2/Xiap/Syk/Smpdl3a/Ube2k/Tlr2/Mapkapk2/Ddx60/Casp1/Gps2/H2-M3/Irgm1/Ifi207/Rela/Tnf/Hmgb2/Mapkapk3/Tbk1/Casp4/Nmi/Matr3/Gdi1/Trim25/Peli1/Sh2d1b1/Chuk/Nfkbiz/Rab7b/Nlrp3/Hsp90aa1/Nfkbia/Aim2/Tnip1/Zc3hav1/Irf1/Slc15a3/Cadm1/Havcr2/Trim30d/Hexim1/Hspa1b"
"GO:0032691","negative regulation of interleukin-1 beta production",12,-0.752594555351386,-2.03793830364794,0.000414674418428781,0.0293117897732501,0.0267034919607388,234,"tags=42%, list=5%, signal=40%","Nlrp3/Errfi1/Zc3h12a/Acp5/Elf4"
"GO:0032611","interleukin-1 beta production",45,-0.494583587136863,-1.8957301409326,0.000441595993091974,0.0306144914441647,0.0278902732479141,764,"tags=38%, list=18%, signal=31%","Il1b/Tmem106a/Tlr2/Casp1/Ifi207/Rela/Tnf/Casp4/Stat3/Foxp1/Nlrp3/Egr1/Errfi1/Aim2/Zc3h12a/Acp5/Elf4"
"GO:0046470","phosphatidylcholine metabolic process",18,-0.661858637977738,-1.97979942233034,0.00049549737798847,0.0330790379194155,0.030135513047252,174,"tags=33%, list=4%, signal=32%","Cept1/Fabp5/Lpcat1/Ldlr/Chka/Gdpd3"
"GO:0002764","immune response-regulating signaling pathway",216,-0.305713056976642,-1.55025468277108,0.000492315795784853,0.0330790379194155,0.030135513047252,1084,"tags=32%, list=25%, signal=25%","Slc15a4/Btk/Lpxn/Stap1/Usp9x/Akt1/Lyn/Elf1/Ubqln1/Rnf115/Usp12/Ppt1/Cd300a/Tnfaip3/Rc3h1/Scimp/Ifih1/Ddx3x/Hspa8/Plcg2/Icosl/Ipo5/Pcbp2/Xiap/Syk/Smpdl3a/Ezr/Tlr2/Mapkapk2/Ddx60/Casp1/Gps2/H2-M3/Irgm1/Ifi207/Rela/Lair1/Tnf/Mapkapk3/Tbk1/Fosl2/Casp4/Cmklr1/Nmi/Gdi1/Themis2/Trim25/Peli1/Sh2d1b1/Chuk/Psen2/Lat2/Nfkbiz/Rab7b/Foxp1/Nlrp3/Nfkbia/Aim2/Tnip1/Zc3h12a/Zc3hav1/Pde4b/Irf1/Slc15a3/Psen1/Havcr2/Abl1/Cd300ld/Hspa1b"
"GO:0006954","inflammatory response",281,-0.285933322968815,-1.49871678846548,0.000508163726580068,0.033181601219646,0.0302289497935019,866,"tags=28%, list=20%, signal=24%","Aoah/Ctss/Cybb/Tab2/Prcp/Rb1/Dicer1/Ddx3x/Ptafr/Hspa8/Il1b/Vps13a/Plcg2/Nampt/Cxcl10/Syk/Acer3/Tlr2/Mapkapk2/Ptger4/Casp1/Tmem258/Map3k8/Il18/Nfe2l2/Gps2/Snx4/Ufl1/Irgm1/Ccl8/Ifi207/Rela/Ccl4/Axl/Il10ra/Tnf/Camk1d/Hmgb2/Fosl2/Casp4/Ccl2/Adcy7/Cmklr1/Nmi/Themis2/Stat3/Il2ra/Fcgr2b/Psen2/Il16/Cebpa/Vps54/Nfkbiz/Ano6/Notch1/Clec12a/Nr4a1/Pik3cd/Foxp1/Eif2ak1/Irf5/Nlrp3/Rel/Nfkbia/Hif1a/Aim2/Tnip1/Zc3h12a/Kdm6b/Tnfrsf1b/Hmox1/Psen1/Acp5/Cxcl2/Havcr2/Icam1/Elf4/Spn/Ldlr/Nfkbib"
"GO:0030097","hemopoiesis",412,-0.261056992626553,-1.40294446341246,0.000515442349043045,0.033181601219646,0.0302289497935019,1071,"tags=34%, list=25%, signal=28%","Btk/Brd4/Stk4/Stap1/Prkx/Sirpa/Relb/Cflar/Atf2/Sp1/Tent2/Rhoh/Lyn/Acin1/Flna/Zfp608/Plek/Klf4/Il6ra/Cdk6/Fgl2/Kat6a/Tnfaip3/Pim1/Rc3h1/Tnfsf13b/Med1/Samd9l/Smarce1/Hhex/Arid1a/Zbtb7a/Rb1/Ctnnb1/Zbtb1/Dicer1/Smarcd2/Ldb1/Uba5/Prdm1/Il1b/Cd74/B2m/Vps13a/Plcg2/Csf3r/Agpat5/Hes1/Psap/Hspa9/Rpl22/Pou2f2/Syk/Fubp1/Isg15/Ep300/Snx10/Tlr2/Cited2/Ubash3b/Ptger4/Alas1/Nf1/Il18/Nfe2l2/Gps2/Jmjd6/H2-M3/Ufl1/Irgm1/Ifi207/Axl/Ireb2/Sgpl1/Maea/Ncoa6/Tnf/Hmgb2/Sos2/Fosl2/Il2rg/Inpp5d/Ppp4r2/Stat6/Slc11a2/Rassf2/Brd2/Tiparp/Coa5/Stat3/Id2/Il2ra/Chuk/Trib1/Psen2/Ptk2b/Cebpa/Hax1/Vps54/Myo1e/Nfkbiz/Rab7b/Notch1/Clec12a/Mafb/Foxp1/Mknk2/Kmt2e/H2-Aa/Sash3/Mink1/Eif2ak1/Atf4/Nlrp3/Hsp90aa1/N4bp2l2/Dock7/Nfkbia/Mmp14/Asxl2/Egr1/Hif1a/Atf7/Dnajb9/Zc3h12a/Prxl2a/Zfp36l2/Sema4a/Lyar/Sh2b3/Runx3/Irf1/Tob2/Psen1/Arid2/Abl1/Spn/Lfng/Ly9/Hspa1b"
